     Depth;ArrivalTime1_Manual;ArrivalTime2_Manual;ArrivalTime3_Manual
3.7;228.235;245.176;269.176
3.72;227.294;241.176;266.824
3.74;221.882;236.471;264.941
3.76;223.765;242.588;270.824
3.78;226.824;248.471;276.941
3.8;227.294;248.941;273.176
3.82;227.765;245.176;268.235
3.84;228.235;244.706;265.882
3.86;227.294;240.235;268.706
3.88;220.471;240.235;271.294
3.9;221.412;248;271.765
3.92;220.471;242.588;270.353
3.94;220.471;239.294;270.353
3.96;222.353;239.294;269.176
3.98;226.353;239.765;273.647
4;227.765;249.412;275.059
4.02;226.824;251.294;276.941
4.04;225.412;245.176;276.941
4.06;227.294;248;276
4.08;231.529;247.529;276.471
4.1;232;248;274.118
4.12;227.294;246.588;272.706
4.14;227.765;247.059;271.765
4.16;227.294;245.176;272.706
4.18;226.353;258.588;275.529
4.2;232.471;264.471;275.529
4.22;231.529;251.765;275.529
4.24;225.412;248.471;272.235
4.26;220.941;249.412;268.706
4.28;225.412;247.529;272.706
4.3;228.706;249.412;274.588
4.32;230.588;251.765;274.588
4.34;232;254.353;278.824
4.36;233.412;259.529;280.471
4.38;234.588;256.235;280.941
4.4;235.529;255.294;280.941
4.42;233.882;254.353;280.941
4.44;231.059;254.353;280.471
4.46;230.118;254.824;278.353
4.48;228.235;250.353;274.588
4.5;226.353;250.353;273.176
4.52;225.412;250.353;271.765
4.54;222.353;248;270.353
4.56;221.412;245.176;268.235
4.58;223.765;244.706;269.647
4.6;226.824;245.176;268.706
4.62;226.824;243.765;268.235
4.64;226.353;244.235;268.235
4.66;226.824;245.647;272.706
4.68;226.824;247.529;274.118
4.7;229.647;245.647;271.765
4.72;220.471;241.647;269.176
4.74;220;236.471;267.294
4.76;219.059;243.294;269.176
4.78;222.824;249.882;275.529
4.8;230.118;249.882;270.824
4.82;228.706;246.588;269.176
4.84;225.882;240.235;267.294
4.86;221.882;248.471;268.706
4.88;220;238.824;272.235
4.9;222.353;246.118;270.824
4.92;223.294;243.765;269.647
4.94;223.294;243.294;269.647
4.96;219.529;244.235;269.647
4.98;217.176;244.706;269.647
5;222.353;243.765;271.294
5.02;222.353;242.588;271.294
5.04;223.294;241.176;270.353
5.06;223.294;240.235;268.706
5.08;223.294;238.353;265.412
5.1;218.588;238.353;269.176
5.12;217.176;237.412;267.765
5.14;222.353;244.706;267.765
5.16;221.882;238.353;268.235
5.18;220.471;234.588;268.235
5.2;221.412;244.235;270.824
5.22;221.882;244.706;272.706
5.24;222.353;243.765;268.706
5.26;218.118;246.118;270.353
5.28;224.235;246.588;271.294
5.3;228.235;245.647;272.235
5.32;232.941;248;273.647
5.34;234.588;257.647;280
5.36;232;259.529;280
5.38;230.118;257.647;277.882
5.4;229.647;253.412;277.412
5.42;232;252.471;280.471
5.44;232;251.765;280.471
5.46;232;251.765;277.882
5.48;231.529;255.765;273.176
5.5;236.471;255.765;273.176
5.52;232;254.353;274.588
5.54;229.176;252.471;274.118
5.56;226.353;248;273.647
5.58;225.412;246.588;275.059
5.6;227.294;246.588;276.471
5.62;225.882;247.059;270.824
5.64;225.882;243.765;266.824
5.66;225.882;238.824;274.118
5.68;227.294;260.471;272.235
5.7;231.529;249.882;273.176
5.72;222.353;243.294;268.706
5.74;225.882;238.353;261.647
5.76;221.882;239.294;269.176
5.78;223.765;250.353;272.706
5.8;226.824;257.647;272.235
5.82;225.412;254.353;272.235
5.84;225.412;247.529;272.235
5.86;225.412;247.529;271.765
5.88;221.882;248.471;272.235
5.9;227.294;251.294;272.235
5.92;228.706;248;270.824
5.94;226.353;248.471;270.824
5.96;225.882;249.412;272.235
5.98;226.353;241.176;274.118
6;228.235;243.765;273.647
6.02;227.765;247.059;273.647
6.04;225.882;245.176;274.118
6.06;223.294;248.941;268.706
6.08;221.412;241.176;264.471
6.1;220;237.412;265.412
6.12;218.588;239.294;265.412
6.14;220;243.294;268.235
6.16;219.529;241.176;268.235
6.18;222.824;241.176;269.176
6.2;222.824;247.529;270.824
6.22;222.353;245.176;268.706
6.24;224.235;244.235;268.706
6.26;230.588;245.647;268.235
6.28;229.176;247.059;271.294
6.3;229.647;247.529;270.824
6.32;225.412;244.235;269.176
6.34;227.294;248;270.353
6.36;226.353;256.706;273.176
6.38;229.647;253.882;276
6.4;225.412;248;275.529
6.42;231.059;248.471;276.471
6.44;231.059;245.647;272.706
6.46;229.647;248.471;271.765
6.48;227.765;248.941;271.765
6.5;229.647;247.529;274.118
6.52;229.647;243.765;274.588
6.54;226.824;248;270.824
6.56;227.765;248.471;268.235
6.58;227.294;248.941;272.235
6.6;226.353;246.118;273.176
6.62;225.882;246.588;271.294
6.64;229.176;244.235;272.706
6.66;229.176;246.588;272.706
6.68;229.176;248;272.706
6.7;229.176;249.412;271.294
6.72;228.235;249.882;271.294
6.74;225.412;246.118;271.765
6.76;227.765;249.412;274.118
6.78;230.588;251.294;276.941
6.8;228.706;250.824;278.824
6.82;228.706;249.412;277.412
6.84;227.294;248.941;272.706
6.86;226.824;244.235;272.706
6.88;223.765;253.882;272.706
6.9;224.706;250.824;272.706
6.92;227.765;250.824;274.118
6.94;226.824;245.647;275.529
6.96;225.882;245.647;276
6.98;223.765;245.647;276
7;228.235;246.118;273.176
7.02;229.176;247.059;272.706
7.04;228.235;249.412;268.706
7.06;227.294;243.765;274.588
7.08;226.824;249.412;271.765
7.1;224.235;244.235;270.353
7.12;222.353;240.706;267.765
7.14;222.353;239.765;267.765
7.16;224.235;239.765;268.706
7.18;221.882;239.765;260.941
7.2;225.882;237.882;254.706
7.22;227.294;255.765;273.176
7.24;224.706;248.941;265.412
7.26;223.294;247.529;270.824
7.28;219.059;242.588;268.706
7.3;219.059;241.647;267.294
7.32;226.824;245.647;269.647
7.34;230.588;251.294;274.588
7.36;233.882;258.118;277.412
7.38;232.941;258.118;278.353
7.4;228.706;249.882;273.647
7.42;231.059;252.941;274.118
7.44;230.118;253.412;275.059
7.46;229.176;250.353;275.059
7.48;230.588;250.353;274.118
7.5;230.118;249.412;271.765
7.52;226.353;248.941;270.353
7.54;227.294;245.647;270.353
7.56;230.118;246.588;269.647
7.58;230.118;248.471;269.647
7.6;223.765;248.471;272.235
7.62;224.235;246.118;272.235
7.64;223.765;242.588;266.353
7.66;226.353;242.588;264.941
7.68;221.412;241.176;271.765
7.7;229.176;249.882;271.294
7.72;225.412;247.059;265.412
7.74;220.941;237.882;260
7.76;216.235;236.941;262.118
7.78;226.824;245.176;267.294
7.8;226.824;251.294;273.176
7.82;228.824;254.824;273.647
7.84;226.618;249.882;268.706
7.86;225.412;240.706;267.294
7.88;223.294;239.294;271.765
7.9;221.412;245.647;272.235
7.92;222.824;250.353;274.588
7.94;223.765;244.706;274.588
7.96;223.765;244.706;273.647
7.98;226.353;244.235;273.647
8;227.294;244.235;276
8.02;231.529;248.941;276.471
8.04;230.588;249.882;276.941
8.06;227.294;249.882;276
8.08;229.176;249.882;266.824
8.1;222.353;248;264
8.12;219.059;241.176;264
8.14;217.647;236.941;264.941
8.16;224.235;243.765;265.412
8.18;223.765;241.176;262.588
8.2;220;241.176;269.647
8.22;225.412;244.118;270.824
8.24;225.412;238.382;269.176
8.26;223.294;233.971;263.529
8.28;217.647;232.941;263.059
8.3;220.471;242.588;268.706
8.32;223.294;242.588;270.353
8.34;228.235;246.588;268.706
8.36;236.941;248.471;271.294
8.38;236.941;257.647;276
8.4;230.588;258.118;276
8.42;229.176;249.882;275.529
8.44;229.176;249.882;275.059
8.46;229.647;249.882;274.588
8.48;228.235;249.882;276
8.5;227.765;249.882;276.941
8.52;225.412;248.471;275.529
8.54;225.882;248.471;275.529
8.56;224.235;248.941;273.176
8.58;224.235;247.529;271.765
8.6;224.235;246.588;270.824
8.62;224.706;246.118;270.353
8.64;227.294;245.647;269.647
8.66;226.353;245.176;269.647
8.68;231.529;254.353;273.176
8.7;233.882;255.294;274.118
8.72;229.176;248.941;269.176
8.74;224.235;241.647;264.941
8.76;217.176;238.824;264.471
8.78;222.353;248.471;268.235
8.8;230.118;252.471;278.824
8.82;229.176;253.882;277.412
8.84;226.824;256.235;269.176
8.86;224.706;246.118;269.176
8.88;226.824;246.588;272.235
8.9;224.706;246.118;273.647
8.92;223.765;245.647;271.765
8.94;229.176;247.059;270.824
8.96;229.647;247.059;270.824
8.98;228.235;246.118;270.353
9;227.294;243.294;275.529
9.02;227.294;245.647;271.765
9.04;229.176;251.294;272.706
9.06;229.176;250.353;275.059
9.08;227.294;249.882;274.118
9.1;222.824;246.588;270.824
9.12;220.471;240.235;266.824
9.14;222.353;236.941;268.706
9.16;222.824;238.824;269.176
9.18;222.353;243.765;270.353
9.2;222.353;243.765;270.353
9.22;222.353;235.059;270.824
9.24;225.882;250.824;271.294
9.26;222.824;244.235;270.353
9.28;221.412;242.588;269.647
9.3;221.412;243.765;272.235
9.32;224.706;244.706;273.647
